"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc1",0,NA,NA,NA,NA
"asc2",-0.31600956650713,0.0353936755929274,-8.92841902439423,0.0351997306153667,-8.97761320847081
"asc3",-0.351609785745395,0.0355870611273722,-9.88027037374408,0.0355704205063199,-9.88489258042151
"b_price",-1.04028380957316e-05,2.08661138854744e-07,-49.8551774078709,2.09223959787308e-07,-49.7210649598014
"b_size",0.0299726482126805,0.000529688432896814,56.5854308895572,0.000530310769848404,56.5190260443864
"b_ldist",-0.326620990819599,0.0233057364181182,-14.0146179017832,0.0236775758607025,-13.7945283225421
"b_price_lowInc",-4.66775697793661e-06,3.5718766470198e-07,-13.0680800016741,3.5691257332902e-07,-13.0781522612083
